county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
01001,.16873823,.020213434,.0033898305,.0027620841,.24223602,.18181819,.25925925,265.58694,.015191463,.22314049,.0033898305,.2962963
01003,.22235146,.047097731,.0066142092,.0020983007,.26585957,.14130434,.26896551,196.36098,.021712853,.29096639,.0068194778,.34448162
01005,.19239905,.042161521,.0071258908,.0029691211,.26760563,.2,.25,161.10564,.029097388,.10204082,.004750594,.375
01007,.17016807,.027836135,.0010504202,.0010504202,.13207547,0,0,110.47169,.017857144,.05882353,.00052521011,0
01009,.20946693,.028533511,.00376023,.0015483301,.3488372,0,.11764706,214.65625,.020570669,.15053764,.0022119,.5
01011,.18396227,.033018868,.0047169812,,0,,0,92.85714,.023584906,.2,.0047169812,0
01013,.16151203,.050687287,.020618556,.005154639,.20338982,.16666667,.20833333,233.75424,.0077319588,.22222222,.0025773195,.33333334
01015,.19192883,.028244045,.0041210172,.0042717862,.22597864,.1882353,.23170732,265.49103,.017137401,.20234604,.0014071766,.25
01017,.14171696,.019661281,.0029199922,.0031146584,.20792079,0,.33333334,292.21783,.0093439752,.25,.0036986568,.31578946
01019,.062119786,.0025704738,.00085682463,,.06666667,,.1,363.66666,.0047982177,.25,.00034272985,0
01021,.18762328,.036242604,.0061637079,.0019723866,.25170067,0,.23999999,210.21576,.009615385,.15384616,.0027120316,.18181819
01023,.028114663,.0027563395,.00068908487,,.050000001,,0,255.55,.0011025359,.5,.00027563397,.5
01025,.22591743,.025229357,.0080275228,.0034403671,.36363637,.66666669,.2857143,357.04761,.010321101,.22222222,.0022935779,0
01027,.19542253,.038732395,.01056338,,.27272728,,.33333334,449.59091,.058978874,.13432837,.0044014086,.2
01029,.21217948,.047435898,.012820513,.0044871797,.2027027,.2857143,.2,166.93835,.028205128,.29545453,.0025641026,.25
01031,.18066522,.027279254,.006221584,.0023929169,.21052632,.1,.11538462,256.82895,.0095716678,.22499999,.0011964585,.40000001
01033,.12080312,.051705614,.0032903573,.0010744024,.094805196,.125,.24489796,76.162552,.019809294,.15254237,.0016116035,.16666667
01035,.17004505,.029279279,.0056306305,.0011261262,.1923077,0,.2,296.54001,.0011261262,0,,
01037,.13414635,.029810298,.016260162,,.31818181,,.33333334,159.31818,.016260162,0,.0013550136,0
01039,.22,.021538461,.0027692309,.0033846153,.21428572,.090909094,.33333334,214.25,.017538462,.3508772,.0021538462,.2857143
01041,.13562621,.014925373,.0025957171,.00064892927,.34782609,0,.25,292.30435,.027255028,.14285715,.0019467878,.33333334
01043,.2407753,.030007178,.0058865757,.0043072505,.30622008,.26666668,.14634146,241.30144,.017085427,.34453782,.0014357502,.30000001
01045,.18871012,.023725117,.0081810746,.00081810745,.31034482,0,.53333336,303.05173,.010362694,.13157895,.0019089173,.5714286
01047,.1406008,.015174977,.0024775472,,.22448979,,.25,267.28571,.0092908023,.1,.00092908018,1
01049,.22641194,.035361152,.0051952405,.0030165913,.31753555,.16666667,.38709676,199.06,.015585721,.22580644,.0040221219,.16666667
01051,.18300502,.029586714,.0056392429,.0040942449,.26892951,.18867925,.28767124,285.38904,.017226728,.27354261,.0026264968,.38235295
01053,.15482987,.021009363,.0045672529,.00091345055,.23913044,.25,.2,266.71024,.0079926923,.2,.0011418132,.40000001
01055,.23654841,.031576082,.0054441523,.0033572272,.25287357,.10810811,.2,257.92795,.013428909,.22972973,.0029035478,.34375
01057,.20847458,.0084745763,,.00084745762,.30000001,0,,226.95,.02881356,.05882353,.00084745762,0
01059,.24209246,.045012165,.017639903,.001216545,.35135135,.5,.31034482,261.56757,.018856447,.38709676,.0030413626,.2
01061,.24858116,.022701476,.0034052213,,.34999999,,.33333334,171.39999,.013620885,.33333334,.0011350738,1
01063,.1574074,.032407407,.0046296297,,.14285715,,0,237.75,.030092593,.23076923,.0023148148,0
01065,.12125863,.014581734,.0026861089,.0023023791,.052631579,0,.14285715,308.51315,.012279355,.1875,.00038372984,0
01067,.19395712,.037037037,.016569201,.00097465888,.18421052,0,.17647059,300.9079,.013645224,.2857143,.00097465888,0
01069,.2296159,.034029651,.0062331539,.0042115902,.24504951,.079999998,.21621622,257.60175,.010107817,.32499999,.0041273586,.48979592
01071,.20118257,.018892415,.0034612056,.0010095183,.25954199,.2857143,.083333336,209,.012546871,.35632184,.0036054226,.23999999
01073,.19090444,.044924293,.0076718885,.0035353776,.27066773,.14814815,.25833979,246.81964,.016516285,.24396396,.0056185126,.34957626
01075,.17414248,.01055409,.0039577838,,.25,,0,199.125,.051451188,.025641026,,
01077,.23088858,.037286684,.0056170761,.0050286204,.30272597,.24468085,.29523811,245.84943,.012464559,.24463519,.0029957739,.21428572
01079,.19827184,.02732368,.0063054645,.00093414291,.2820513,.25,.4074074,249.9017,.01588043,.27941176,.00093414291,.5
01081,.23855133,.049005043,.0090474924,.0036083842,.29940444,.19852941,.23753665,236.80629,.017617404,.29216868,.0079862028,.55149502
01083,.14602597,.020204179,.0029932118,.0013897055,.20899472,.26923078,.2857143,222.26852,.0075364797,.28368795,.0018173072,.14705883
01085,.13840304,.025855513,.011406844,,.11764706,,0,306.89706,.0098859314,.15384616,,
01087,.14828967,.018922852,.0021834061,.0025473072,.15384616,.071428575,.33333334,219.26923,.0074599707,.097560972,.0021834061,.083333336
01089,.20947646,.044370249,.0066207289,.003992328,.26416907,.15658364,.2639485,244.66312,.015997726,.29484901,.0054699155,.35324675
01091,.13826147,.015058179,.0041067763,.0020533882,.18181819,.66666669,0,275.09091,.0075290897,0,.0013689254,0
01093,.22169416,.021246854,.0047525861,.0022365111,.31578946,.25,.35294119,255.09595,.02236511,.175,.0019569471,.5714286
01095,.1926733,.024202984,.0065808715,.002120503,.22960725,.1724138,.2,259.30182,.018426441,.25,.0020473823,.2857143
01097,.16898906,.034735948,.004965852,.0045030396,.24378826,.10277778,.24937028,237.89798,.012445901,.26834172,.0050909366,.4054054
01099,.19101124,.033707865,.014446228,.0016051364,.19047619,0,.11111111,175.7619,.028892456,.055555556,,
01101,.14104596,.028833404,.0042530484,.004802872,.21031968,.16498317,.23954372,270.19827,.014052847,.20598389,.0033959702,.28095239
01103,.19875365,.032151327,.0055148071,.0040258095,.27787307,.23287672,.30000001,275.87222,.016378978,.24242425,.0015992941,.34482759
01105,.17862481,.029521674,.0022421526,.0014947683,.21518987,0,.5,259.74051,.012705531,.17647059,.0044843052,.41666666
01107,.13424866,.012204424,.0015255531,.00076277653,.1875,0,.5,298.15625,.026697177,.028571429,.00076277653,0
01109,.18768059,.024560021,.0060415026,.0013133701,.24598931,0,.26086956,246.36363,.018781193,.2027972,.0013133701,.30000001
01111,.1742534,.027544215,.0040591476,.0014496956,.17894737,.2,.14285715,295.42105,.011017687,.28947368,.0057987822,.34999999
01113,.1593329,.02873637,.0056446441,.0029506094,.19642857,.17391305,.29545453,245.49327,.011930725,.16129032,.0030788968,.125
01115,.22549801,.030278884,.0082868524,.0020717131,.25789472,.30769232,.1923077,303.62433,.014501992,.32967034,.0017529881,.27272728
01117,.20528059,.039217506,.0065001394,.0060667968,.29992107,.20918368,.32857144,256.51736,.021821896,.26524824,.0045810505,.38513514
01119,.17155309,.022583202,.0083201267,.002377179,.2631579,.16666667,.2857143,244.6228,.017828843,.11111111,.0015847861,0
01121,.17127913,.023014741,.0054208273,.0019020448,.25619835,.40000001,.29824561,237.9834,.013789824,.24137931,.001997147,.19047619
01123,.24786142,.025021385,.0049187341,.00213858,.38461539,.2,.26086956,265.23932,.0213858,.43000001,.003849444,.27777779
01125,.18596999,.031627797,.0047972035,.0034954499,.27667683,.15172414,.26633167,246.02036,.016862532,.17941387,.004339179,.2888889
01127,.17023785,.026046786,.0046196184,.0030469825,.2,.22580644,.34042552,280.6868,.017004129,.24855492,.0034401414,.057142857
01129,.14313534,.0097370986,.00097370986,,.1,,0,266.70001,.014605648,.2,,
01131,.15384616,.036027264,.0048685493,.0038948394,.1891892,.25,.2,296.05081,.0097370986,0,,
01133,.24242425,.021487603,.0033057851,,.30769232,,.16666667,235.46153,.027548209,.28,.00055096421,0
04001,.23339248,.03213089,.010053223,.00059136603,.2760736,0,.23529412,239.29321,.025625862,.33846155,.0031539523,.1875
04003,.16788544,.047227301,.0094454605,.004875076,.29247311,.14583333,.39784947,230.63333,.019703433,.26804122,.0088360757,.24137931
