zipcode,prophappy,propfood,prophealthyfood,propfastfood,calories,senthealthy,sentfastfood,sentfood,propexercise,sentex
00014,.29166666,.027777778,.027777778,0,596.5,0,,0,.041666668,0
00015,.18604651,,,,,,,,.23255815,.30000001
00016,0,,,,,,,,0,
00017,.079404466,.0024813896,0,0,86,,,0,.029776676,.16666667
00018,.027210884,,,,,,,,.0068027209,1
00019,0,,,,,,,,0,
00020,.26540285,.016587678,.0047393367,0,175.42857,.5,,.42857143,.13744076,.46551725
00022,.25,,,,,,,,0,
00026,.069620252,.0063291141,.0021097045,0,159.66667,0,,.66666669,.010548524,.60000002
00027,.20451128,.015037594,0,0,404,,,.2,.082706764,.41818181
00028,0,,,,,,,,0,
00031,.5,,,,,,,,0,
00032,.35555556,,,,,,,,0,
00033,0,,,,,,,,.11111111,0
00034,0,,,,,,,,.33333334,0
00035,.18181819,,,,,,,,.090909094,1
00037,0,,,,,,,,0,
00038,.085714288,,,,,,,,0,
00039,.14285715,.023809524,.023809524,0,89,0,,0,0,
00040,.18181819,.024793388,0,0,38,,,0,.05785124,.14285715
00041,.26086956,.0063241106,.0023715415,0,110.625,0,,0,.012648221,.125
00042,.21951219,,,,,,,,.024390243,0
00043,.14917128,.0055248621,0,0,229.25,,,.25,.012430939,.44444445
00044,.073170729,,,,,,,,0,
00045,.16666667,,,,,,,,.16666667,1
00047,0,,,,,,,,0,
00048,.05882353,.0065359478,.0065359478,0,18,1,,1,0,
00049,0,,,,,,,,0,
00050,0,,,,,,,,0,
00051,.34061137,.0087336246,0,0,98.5,,,.5,.074235804,.41176471
00052,0,,,,,,,,0,
00053,.19626169,.0093457941,0,0,210,,,0,.03271028,.14285715
00054,.2857143,,,,,,,,0,
00055,.13513513,,,,,,,,.054054055,.5
00056,.2857143,,,,,,,,.14285715,1
00057,.34782609,.086956523,.065217391,0,114,.33333334,,.375,.097826086,.66666669
00058,.28141594,.01238938,.0017699115,0,186.28572,0,,.2857143,.1522124,.3488372
00059,.079999998,,,,,,,,.12,.33333334
00060,.60000002,,,,,,,,0,
00061,.27272728,,,,,,,,.090909094,1
00064,0,,,,,,,,0,
00065,0,,,,,,,,0,
00066,.07692308,,,,,,,,0,
00067,.18954249,.013071896,0,0,72.5,,,1,.065359481,.40000001
00069,.22580644,,,,,,,,.096774191,.33333334
00070,.2962963,.024691358,.024691358,0,176.5,.5,,.5,.11111111,.11111111
00071,.22448979,.040816326,.010204081,0,148.5,0,,0,.05102041,.40000001
00072,.30578512,.022038568,.011019284,0,196.375,0,,.1875,.10881542,.2658228
00073,.17460318,.047619049,.015873017,.015873017,298.33334,0,0,.33333334,.031746034,1
00074,.12121212,.015151516,.015151516,0,86,0,,0,.030303031,.5
00076,.21428572,.071428575,0,0,491,,,0,.071428575,1
00077,.125,,,,,,,,.5,.5
00084,0,,,,,,,,0,
00087,0,,,,,,,,0,
00097,.095238097,,,,,,,,0,
00098,.33333334,,,,,,,,0,
00100,.5,,,,,,,,.1,1
00116,0,,,,,,,,0,
00125,0,,,,,,,,0,
00127,.11111111,,,,,,,,0,
00128,.16666667,,,,,,,,0,
00130,.15384616,.021978023,0,0,22,,,.5,.043956045,.5
00132,0,,,,,,,,0,
00133,.33333334,,,,,,,,.11111111,.5
00134,.052631579,.31578946,.052631579,0,215.33333,0,,.16666667,.052631579,0
00135,.25730994,.01754386,.0058479533,0,136,0,,.66666669,.14035088,.5
00137,0,,,,,,,,0,
00138,1,,,,,,,,0,
00139,.33333334,,,,,,,,.098039217,.60000002
00141,0,,,,,,,,0,
00148,0,,,,,,,,0,
00151,0,,,,,,,,0,
00152,.29620254,.017721519,.0075949365,0,146.42857,.33333334,,.42857143,.017721519,.42857143
00158,0,,,,,,,,0,
00160,.22222222,,,,,,,,0,
00161,.125,,,,,,,,.013888889,0
00164,0,,,,,,,,0,
00165,0,,,,,,,,0,
00166,.26086956,,,,,,,,.086956523,.5
00168,.31818181,,,,,,,,.13636364,0
00172,0,,,,,,,,0,
00174,.52631581,.052631579,0,0,43,,,1,.15789473,1
00176,.064604811,.0013745704,0,0,225.5,,,1,.026804123,.33333334
00177,.30232558,.023255814,0,0,245,,,.5,.1627907,.21428572
00179,.10344828,,,,,,,,.10344828,.33333334
00180,.25714287,.014285714,0,0,43,,,1,.071428575,.60000002
00181,.5,,,,,,,,0,
00182,.60000002,.1,0,0,290,,,1,.1,1
00183,.28767124,,,,,,,,.02739726,0
00184,.38461539,,,,,,,,.46153846,.33333334
00185,.071428575,,,,,,,,.14285715,0
00188,.52777779,.013888889,0,0,353.5,,,0,.048611112,.5714286
00195,.5,,,,,,,,0,
00197,.15068494,.01369863,.01369863,0,60,0,,0,.02739726,0
00199,.1641791,,,,,,,,.059701491,.5
00623,0,,,,,,,,0,
00653,0,,,,,,,,0,
00678,0,,,,,,,,0,
00682,0,,,,,,,,0,
00725,0,,,,,,,,0,
00745,0,,,,,,,,0,
00767,0,,,,,,,,0,
00772,0,,,,,,,,0,
00777,0,,,,,,,,0,
00778,.5,,,,,,,,0,
00791,0,,,,,,,,0,
00901,0,,,,,,,,0,
00907,0,,,,,,,,0,
00911,0,,,,,,,,0,
00920,0,,,,,,,,0,
00924,0,,,,,,,,0,
00926,0,,,,,,,,0,
00934,1,,,,,,,,0,
00949,0,,,,,,,,0,
00957,0,,,,,,,,0,
00961,1,,,,,,,,0,
00962,0,,,,,,,,0,
00969,0,,,,,,,,0,
00985,0,,,,,,,,0,
00987,0,,,,,,,,0,
01001,.23689164,.033073407,.0051089004,.00026888947,239.47968,.2631579,0,.16260162,.0088733528,.21212122
01002,.19124313,.058057673,.010512103,.0021217091,245.43011,.22018349,.090909094,.24418604,.019191822,.18592964
01003,.21472958,.029689299,.0066743381,.001150748,241.40475,.13793103,.2,.19379845,.014499425,.36507937
01005,.20190778,.063593008,.014308427,.0031796503,164.0625,.22222222,.5,.22499999,.11605723,.09589041
01007,.1886121,.052491102,.0071174377,.00088967971,222.81355,.375,1,.22033899,.024021352,.25925925
01008,.20588236,.029411765,0,.004901961,222.5,,0,.16666667,.024509804,.2
01010,.20704846,.033039648,.013215859,0,198.64285,.5,,.33333334,.011013215,0
01011,.28723404,.010638298,.010638298,0,93,0,,0,.063829787,.33333334
01012,.3125,,,,,,,,0,
01013,.1458149,.032737568,.0031852769,.001061759,219.67567,.33333334,0,.2054054,.010794549,.18032786
01020,.150143,.049571019,.0046075629,.015888147,257.72668,.31034482,.16,.22435898,.013346043,.20238096
01022,.27506426,.035989717,.0051413882,0,132.35715,.5,,.42857143,.0051413882,.5
01026,.16233766,.077922076,.025974026,0,100.41666,.5,,.41666666,.032467533,.2
01027,.22701022,.062638827,.011106175,.001332741,207.22694,.23999999,.33333334,.30496454,.028431809,.46875
01028,.19654992,.033455305,.0083638262,.0036591741,180.92188,.4375,0,.328125,.018295871,.2857143
01030,.20717672,.031144211,.0033852404,.0013540961,211.04347,0,0,.19565217,.015572106,.2173913
01031,.22877847,.026915114,.0093167704,0,173.92308,.44444445,,.30769232,.016563147,.25
01032,.4074074,.14814815,.037037037,0,301.25,0,,.25,0,
01033,.14627659,.039893616,.010638298,0,171.96666,.375,,.26666668,.023936171,.33333334
01034,.19318181,.051136363,.011363637,0,116.66666,0,,.22222222,.017045455,0
01035,.2194877,.071320944,.0090406835,.0085384231,208.02817,.27777779,.17647059,.34507042,.020592667,.34146342
01036,.16320474,.041543026,.002967359,.0059347181,155.28572,1,.5,.5,.03560831,.5
01038,.1025641,.027613413,.0059171598,0,313.5,0,,.14285715,.0059171598,.33333334
01039,.25345623,.059907835,.032258064,.0046082949,356.19232,.2857143,0,.15384616,.041474655,.77777779
01040,.14032397,.038148183,.0051758843,.0019169941,225.41833,.24074075,.1,.24623115,.021278635,.18018018
01050,.22110553,.045226131,.020100502,0,165.22223,.25,,.33333334,.020100502,.25
01053,.24666667,.026666667,.0066666668,0,93.25,0,,0,.033333335,.2
01054,.34615386,.01923077,.01923077,0,154,1,,1,.03846154,1
01056,.15004778,.04109589,.0041414462,.0015928639,216.33594,.07692308,0,.20930232,.014017203,.29545453
01057,.24437299,.075562701,.003215434,0,82.797874,.5,,.4893617,.020900322,.23076923
01060,.25355852,.11556092,.016887818,.0024125453,220.659,.21428572,0,.31106472,.015922798,.30303031
01062,.21573605,.052030455,.0038071065,.002538071,300.83749,.33333334,0,.41463414,.029187817,.26086956
01063,.18181819,.02020202,.012626262,0,112.125,.2,,.125,.012626262,.2
01066,0,,,,,,,,0,
01068,.17158931,.26300985,.21940929,0,154.00803,.23076923,,.22994652,.016877636,0
01069,.20168068,.035714287,.0042016809,0,207.11765,0,,.17647059,.018907564,.22222222
01070,.2173913,.043478262,.021739131,0,75,0,,0,.043478262,0
01071,.22051282,.041025642,.020512821,.0051282053,422.625,1,0,.5,.030769231,.33333334
01072,.32499999,.025,0,0,377,,,0,0,
01073,.19395018,.10142349,.028469751,0,151.05263,.125,,.24561404,.026690392,.66666669
01075,.147,.035399999,.0057999999,.0012000001,215.35228,.27586207,0,.23728813,.027799999,.28776979
01077,.22762816,.055603825,.0043440484,.0026064292,220.71875,.40000001,.33333334,.28125,.048653346,.3392857
01080,.22352941,.023529412,0,0,141,,,.5,.023529412,0
01081,.28947368,.052631579,0,0,43,,,0,.02631579,0
01082,.22623828,.053547524,.018741634,0,229.45,.35714287,,.32499999,.032128513,.16666667
01084,0,,,,,,,,0,
01085,.18101048,.037037037,.0069578248,.0028901733,233.27101,.12307692,.14814815,.20520231,.030400343,.14084508
01088,.21428572,.035714287,.017857144,0,241.5,0,,0,.017857144,0
01089,.20942594,.078844793,.013288448,.0063784551,228.54382,.23999999,.1388889,.29213482,.0095676826,.24074075
