state,percenthappy,percentfood,percenthealthyfood,percentfastfood,senthealthy,sentfastfood,sentfood,calories,percentexercise,sentex,percentalc,sentalc
01,.18651362,.035325244,.0058185519,.0033976047,.25841185,.16200198,.25820243,241.21654,.015717138,.242366,.0041919081,.34961301
04,.2082563,.051081348,.007381177,.0062242504,.29729998,.15950559,.25995094,242.76685,.025210595,.35799813,.0078002787,.31871125
05,.21567374,.041036353,.0072895335,.0042524575,.28846881,.18405703,.30396238,265.32339,.017222039,.318771,.0038225267,.35328045
06,.21040028,.059406724,.0092440303,.0059960457,.29980728,.15217845,.27714205,244.96431,.021960402,.32494873,.0085879695,.34545738
08,.21503197,.059331983,.0081258351,.0046709995,.30736756,.13764511,.28795508,219.34111,.028263917,.3234016,.011370414,.38423356
09,.18560722,.058164265,.0093154404,.0043261335,.27794513,.12051895,.27536821,230.67972,.018750517,.26892477,.010049509,.47898296
10,.16776758,.047505371,.0095194699,.0040218402,.27228808,.17255718,.24817389,253.71425,.015773807,.28359395,.006714215,.34993774
11,.20338932,.04785065,.0082105501,.0034223634,.29974651,.12010642,.28380361,239.39037,.015667947,.27679536,.0080154324,.3607595
12,.20132387,.047768377,.0076635838,.0045187939,.28800565,.15025201,.27513576,235.44582,.019749433,.29013124,.00786315,.362652
13,.18951197,.041844767,.007573558,.0038118623,.26375633,.14362694,.2451172,248.4118,.016238138,.27070156,.0056842174,.31688672
16,.19871084,.050283365,.0090116458,.00501339,.28749135,.14906833,.27272728,226.26463,.022158559,.29932547,.0067322664,.34042552
17,.19098459,.059816059,.0087284474,.0056290883,.27141321,.12087252,.26512575,238.80859,.016345046,.26329574,.011157543,.4109174
18,.18810773,.045599081,.0066023464,.0053053722,.27752566,.16094516,.25607333,237.55537,.017143708,.25864607,.0072654192,.3408573
19,.19931346,.053345274,.0072875358,.0044774208,.29139847,.13904762,.26674661,218.74101,.018877659,.28201944,.0097948918,.33957335
20,.18064472,.043462388,.0062345634,.0053766873,.25663999,.13877551,.24856552,238.37515,.017712144,.26717728,.0059891706,.30279812
21,.19629894,.041396532,.0062201982,.0057891412,.28166914,.2133707,.28554234,239.76257,.024972335,.23804,.0073627308,.39172176
22,.13488635,.036010131,.0057137101,.002601878,.24574417,.12523365,.22193281,247.0304,.011020291,.21195309,.0060986076,.27079061
23,.21551706,.079341382,.013447328,.0031792405,.31948882,.16047297,.28516313,214.4417,.024000043,.33318415,.013366773,.38690236
24,.16542022,.04219453,.0070197075,.0042897509,.26243937,.14462081,.25199851,226.86787,.015746741,.25216207,.0068003023,.35963285
25,.19326501,.059337869,.010433919,.0037553913,.28844029,.12802592,.26236689,228.10934,.020244285,.25776359,.010684235,.34513751
26,.19078737,.048804432,.0063362443,.0040232637,.26141644,.14214969,.36782333,232.91357,.022293456,.18396197,.0074171145,.36550671
27,.21207167,.059402753,.0092265923,.0044244691,.27187133,.16525771,.2738001,221.42004,.020370414,.28525737,.010225628,.34855458
28,.17636371,.033482719,.0058973641,.0024283265,.25698531,.19732143,.26970148,266.9046,.013264733,.2788493,.0039416943,.29427943
29,.20345932,.05474101,.0076574553,.0050144903,.28358209,.17399268,.27503541,235.15987,.017828278,.29878083,.0087911747,.33116657
30,.23924617,.057487067,.016358819,.0034992127,.32085562,.2,.32869565,209.09322,.03053063,.3831355,.0076982677,.40097404
31,.19016288,.049577203,.0073985592,.0043732109,.25187472,.14477612,.25686261,217.14424,.01649745,.25301683,.0076792282,.34764132
32,.21374118,.049789499,.0071983146,.0049110968,.30593055,.16590106,.27733436,245.7869,.025059611,.29829299,.0092113437,.34353805
33,.21594447,.061451435,.010357687,.0036928316,.30005044,.16831683,.2839779,210.50023,.024293296,.29585037,.011762739,.38277087
34,.17885511,.049165703,.0083774207,.0046769991,.27160019,.13098162,.25091836,234.98984,.017614689,.26653448,.0075111398,.36331376
35,.18688443,.045606457,.0080355145,.004420111,.31384763,.16114983,.27201352,240.43895,.017946111,.28298649,.0062913424,.33476132
36,.21500503,.057173647,.0095004244,.0041177198,.29646629,.13904236,.28122401,236.40927,.017324155,.29543942,.0095580891,.39490908
37,.20084494,.050943363,.008407983,.0044638426,.29125783,.1520309,.28361255,244.69417,.018297698,.28094351,.0082676867,.40105987
38,.14554995,.034314029,.0043315687,.0024696868,.25577265,.17757009,.24843049,219.11617,.01207146,.2517527,.0067473995,.28392246
39,.17219637,.049031686,.0095652556,.0052093989,.22014487,.125618,.24595319,219.06966,.017041093,.24598749,.0084610563,.36394426
40,.18051431,.037246548,.0057157022,.0031248759,.28294203,.19149868,.264375,251.49339,.015434039,.25286132,.0045818733,.27913928
41,.15956914,.061159588,.0099017788,.0030052206,.27956039,.15745232,.27134368,215.31807,.016683687,.2899074,.0099833952,.36389294
42,.18460768,.054629803,.0087474193,.003980028,.2666834,.1215495,.25809458,225.93102,.016753253,.25662884,.010268678,.38059914
44,.20206499,.057225827,.0091791321,.0047736447,.29562867,.12045061,.25610813,229.99263,.021357303,.28220028,.0078885099,.33875197
45,.1961671,.04861467,.0080795316,.0043173963,.26540035,.16909406,.26081333,231.2836,.020723715,.25574699,.0076340432,.34775931
46,.2144486,.051907752,.0085572563,.0035498508,.25824177,.21854305,.270154,203.88754,.020346992,.28885037,.0097797215,.32091346
47,.2359885,.047353167,.007686012,.0038635761,.27523711,.17093219,.29746372,247.32608,.018331958,.32131186,.0067311246,.36768174
48,.16720305,.043521315,.0061587282,.0042122477,.26698491,.14043175,.24403042,251.20515,.015395317,.25185409,.0061888108,.29648697
49,.22105962,.040252633,.0065665022,.0035398104,.30680591,.1997328,.27650824,246.91412,.0279165,.34109774,.0050626146,.2979916
50,.21023017,.07672634,.013966418,.0032247303,.30095541,.079310343,.29304346,211.96829,.03054598,.2901347,.014511286,.39616859
51,.1849667,.04924402,.0079908269,.005903637,.27787197,.14602658,.25387216,239.84892,.018052472,.25450337,.0077028996,.33304018
53,.19604599,.063469827,.0097025624,.0077621932,.29547969,.18130703,.26925939,227.89952,.020442564,.29665408,.0088776192,.33558995
54,.17135531,.033996776,.0051095672,.0038256911,.23984772,.19661017,.24489796,241.83253,.015759902,.25159433,.006101653,.33953241
55,.19955869,.057591073,.0090292469,.005683783,.27771828,.13592853,.27405369,223.65054,.02064467,.2906003,.011797991,.37077269
56,.20732343,.047411717,.0077447835,.0031701445,.28238341,.11392405,.26618704,234.34178,.027628411,.34713143,.0067215087,.29850745
